id;name;middle_price;status;military_department;description;code
1;Intuitive niches;13821;Joint;false;relationships Manager teal;82368
2;mobile;47569;Joint;false;salmon Direct;33628
3;calculate Sweden indigo;32675;Joint;true;Down-sized Internal Illinois;41065
4;circuit array Borders;66461;Joint;true;microchip;9750
5;Refined;41428;Joint;true;interactive interface;98089
6;virtual Supervisor;30705;Joint;false;Ball XSS Botswana;66305
7;envisioneer magenta;94043;Joint;false;Australia;3370
8;digital Account Kentucky;27624;Joint;true;Sausages calculating;12580
9;Florida SDD;10977;Joint;false;Chief York array;68782
10;plum Iowa;74035;Joint;true;Frozen Uganda;37143
