id;name;grand_score;grand_count;average_salary;demand;code;description
1;of invoice;66837;24992;13287;Average;44294;New Mountain Fork
2;Keyboard Awesome;88269;66359;73163;High;98014;Organized
3;Run;42337;53525;84158;High;37948;Functionality
4;Small Unbranded invoice;70669;16668;37708;Low;6828;Tuvalu parse Product
5;International deposit connecting;61786;4666;79597;High;47517;Cotton Avon
6;Direct;54850;5053;7288;Average;40612;bypass blockchains
7;5th multimedia Brand;52257;23903;87269;High;37780;success Mobility
8;Architect Intelligent Soft;43913;64398;39237;High;305;Account Customer
9;Outdoors leading-edge Bedfordshire;62525;48708;35977;Average;27680;PNG
10;Strategist Robust networks;16883;29689;9646;Low;22287;hacking sticky blue
